City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
339,pisco,20,PE,1572980948,30,-13.71,-76.2,71.6,10.29
340,sedalia,1,US,1572980948,40,38.7,-93.23,55.4,2.28
341,antalaha,68,MG,1572980949,80,-14.9,50.28,79.0,12.77
342,sao paulo de olivenca,90,BR,1572980949,52,-3.38,-68.87,92.82,1.97
343,tautira,40,PF,1572980949,74,-17.73,-149.15,84.2,10.29
344,pacific grove,1,US,1572980949,67,36.62,-121.92,75.0,3.36
345,lake havasu city,1,US,1572980949,10,34.47,-114.34,78.8,11.41
346,kizukuri,44,JP,1572980949,58,40.81,140.39,48.0,7.0
347,camacupa,100,AO,1572980950,94,-12.02,17.48,63.37,3.29
348,madang,100,CN,1572980950,64,35.32,102.79,36.57,4.12
349,ossora,100,RU,1572980380,95,59.24,163.07,36.93,41.05
350,saint-francois,75,FR,1572980365,93,46.42,3.91,48.2,2.24
351,novyy urengoy,93,RU,1572980950,93,66.08,76.63,17.69,12.41
352,vanimo,100,PG,1572980950,81,-2.67,141.3,80.15,8.57
353,umm kaddadah,0,SD,1572980379,15,13.6,26.69,84.58,8.66
354,maragogi,22,BR,1572980784,72,-9.01,-35.22,78.67,11.25
355,broken hill,0,AU,1572980951,21,-31.97,141.45,62.6,9.17
356,richards bay,50,ZA,1572980951,81,-28.77,32.06,73.71,22.91
357,bilibino,60,RU,1572980951,88,68.06,166.44,3.76,2.75
358,grand gaube,40,MU,1572980952,88,-20.01,57.66,73.4,3.36
359,kisangani,62,CD,1572980952,93,0.52,25.21,72.86,2.35
360,suicheng,41,CN,1572980952,71,33.9,117.93,51.76,4.54
361,cockburn town,0,TC,1572980952,76,21.46,-71.14,81.77,16.37
362,nador,34,MA,1572980952,63,35.17,-2.93,64.4,11.41
363,tricase,75,IT,1572980952,88,39.93,18.36,71.01,17.22
364,puerto ayacucho,40,CO,1572980952,55,5.66,-67.63,91.4,9.17
365,valparaiso,40,US,1572980235,48,41.47,-87.06,46.4,12.75
366,ambon,75,FR,1572980953,87,47.55,-2.56,54.0,6.93
367,alta floresta,77,BR,1572980374,36,-9.87,-56.08,98.53,2.66
368,ketchikan,90,US,1572980900,93,55.34,-131.65,48.2,1.1
369,raudeberg,100,NO,1572980370,51,61.99,5.14,37.99,5.82
370,malindi,40,KE,1572980953,78,-3.22,40.12,80.6,13.87
371,ilulissat,40,GL,1572980953,61,69.22,-51.1,32.0,10.29
372,shiyan,90,CN,1572980954,63,32.65,110.78,54.05,1.88
373,husavik,14,CA,1572980954,79,50.56,-96.99,21.0,5.99
374,pochutla,20,MX,1572980954,62,15.74,-96.47,91.0,3.42
375,saint-joseph,4,FR,1572980954,58,43.56,6.97,59.0,16.11
376,hobyo,85,SO,1572980954,81,5.35,48.53,79.88,9.44
377,kattivakkam,20,IN,1572980954,88,13.22,80.32,82.99,7.02
378,lodja,29,CD,1572980954,72,-3.52,23.6,76.3,1.63
379,wewak,100,PG,1572980955,90,-3.55,143.63,74.75,3.65
380,vizinga,100,RU,1572980955,94,61.08,50.08,27.43,8.3
381,touros,40,BR,1572980955,58,-5.2,-35.46,84.2,17.22
382,warrington,20,GB,1572980955,75,53.39,-2.59,48.2,6.93
383,danshui,0,CN,1572980956,53,22.81,114.46,73.99,4.47
384,leningradskiy,4,RU,1572980956,75,69.38,178.42,12.97,7.34
